ALL,,EFSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time
80%,550,1.67,121.60,300,12.52,80.40,360,28.49,174.95,324,1.23,1847.23
90%,544,2.69,188.81,293,37.28,220.97,330,62.32,412.28,297,2.07,2596.02
95%,531,4.38,206.80,290,46.34,304.26,321,79.00,524.55,264,3.84,2586.58
98%,518,7.76,329.07,288,75.71,503.98,319,107.57,730.57,229,8.94,2943.04
99%,488,11.27,426.77,281,144.57,993.38,312,192.79,1331.76,172,19.56,1755.66
99.50%,445,17.69,421.39,254,319.98,2094.18,296,365.29,2462.61,146,22.78,505.13
,,,,,,,,,,,,
,,,,,,,,,,,,
QF_BV,,EFSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time
80%,328,1.23,37.53,294,7.62,45.07,325,7.39,53.16,324,1.23,1847.23
90%,328,1.89,63.02,290,31.42,204.91,320,50.82,312.23,297,2.07,2596.02
95%,327,2.92,73.94,289,45.11,304.62,320,77.99,525.59,264,3.84,2586.58
98%,326,5.02,105.17,288,75.71,503.98,319,107.57,730.57,229,8.94,2943.04
99%,324,8.14,143.61,281,144.57,993.38,312,192.79,1331.76,172,19.56,1755.66
99.50%,323,15.58,244.56,254,319.98,2094.18,296,365.29,2462.61,146,22.78,505.13
,,,,,,,,,,,,
,,,,,,,,,,,,
QF_ABV,,EFSampler,,,SMTSampler,,,GuidedSampler,,,,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,,,
80%,216,2.26,252.03,3,189.00,2258.19,32,231.75,1319.17,,,
90%,210,3.81,389.64,1,363.00,186.93,8,496.25,4208.36,,,
95%,198,6.66,431.16,1,401.00,201.57,1,401.00,192.30,,,
98%,186,12.40,729.73,0,--,--,0,--,--,,,
99%,161,17.55,1001.61,0,--,--,0,--,--,,,
99.50%,119,23.47,905.36,0,--,--,0,--,--,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
QF_AUFBV,,EFSampler,,,SMTSampler,,,GuidedSampler,,,,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,,,
80%,6,4.67,21.85,3,315.67,1364.92,3,146.67,1163.01,,,
90%,6,7.17,36.18,2,723.00,2566.86,2,166.50,1236.04,,,
95%,6,8.83,44.44,0,--,--,0,--,--,,,
98%,6,13.17,73.89,0,--,--,0,--,--,,,
99%,3,13.00,157.51,0,--,--,0,--,--,,,
99.50%,3,15.33,263.45,0,--,--,0,--,--,,,
